order_id,customer_id,product_id,quantity,order_date
O00001,C0097,P0011,5,2025-05-13
O00002,C0365,P0031,5,2025-02-10
O00003,C0640,P0022,5,2025-07-17
O00004,C0404,P0039,3,2025-08-27
O00005,C0554,P0024,4,2024-09-17
O00006,C0346,P0038,2,2024-11-12
O00007,C0841,P0001,3,2024-04-06
O00008,C0336,P0023,4,2023-11-11
O00009,C0298,P0026,1,2023-12-05
O00010,C0696,P0046,3,2024-08-25
O00011,C0291,P0014,4,2024-07-07
O00012,C0399,P0024,3,2025-05-06
O00013,C0411,P0010,4,2025-03-19
O00014,C0563,P0037,2,2024-01-23
O00015,C0861,P0001,1,2024-01-24
O00016,C0918,P0024,4,2024-08-31
O00017,C0913,P0045,2,2025-07-27
O00018,C0394,P0003,1,2023-11-03
O00019,C0030,P0040,5,2024-04-18
O00020,C0741,P0025,3,2023-09-27
O00021,C0253,P0031,2,2023-12-20
O00022,C0453,P0022,4,2024-06-24
O00023,C0745,P0032,4,2025-07-12
O00024,C0445,P0031,5,2025-07-09
O00025,C0659,P0036,1,2024-08-20
O00026,C0823,P0025,5,2025-06-18
O00027,C0663,P0019,3,2023-12-05
O00028,C0926,P0005,3,2025-07-10
O00029,C0821,P0034,5,2023-10-09
O00030,C0222,P0027,4,2024-10-02
O00031,C0139,P0002,5,2024-08-16
O00032,C0754,P0035,5,2024-06-04
O00033,C0506,P0039,3,2025-03-08
O00034,C0484,P0042,2,2024-12-07
O00035,C0835,P0027,4,2025-02-07
O00036,C0809,P0024,1,2025-02-16
O00037,C0537,P0004,1,2025-03-09
O00038,C0684,P0025,1,2024-02-23
O00039,C0846,P0029,5,2024-09-07
O00040,C0420,P0035,5,2024-11-29
O00041,C0827,P0004,5,2025-07-18
O00042,C0423,P0008,2,2024-12-22
O00043,C0483,P0011,5,2024-11-18
O00044,C0782,P0022,5,2024-10-02
O00045,C0341,P0009,4,2023-11-23
O00046,C0825,P0010,5,2024-04-25
O00047,C0241,P0013,3,2025-04-06
O00048,C0580,P0028,2,2025-01-02
O00049,C0333,P0010,5,2025-03-30
O00050,C0232,P0042,5,2024-10-24
O00051,C0954,P0049,3,2024-08-02
O00052,C0112,P0004,2,2023-12-06
O00053,C0174,P0030,2,2025-01-07
O00054,C0099,P0007,1,2024-01-14
O00055,C0513,P0012,4,2025-03-04
O00056,C0170,P0038,4,2024-04-20
O00057,C0635,P0045,1,2024-12-08
O00058,C0517,P0048,3,2023-09-28
O00059,C0238,P0001,5,2025-08-04
O00060,C0522,P0047,4,2025-08-22
O00061,C0067,P0039,3,2025-04-02
O00062,C0571,P0019,3,2024-04-11
O00063,C0129,P0014,1,2023-10-14
O00064,C0275,P0026,4,2025-07-29
O00065,C0276,P0026,1,2023-10-17
O00066,C0610,P0014,3,2025-06-01
O00067,C0824,P0031,1,2025-05-06
O00068,C0946,P0010,3,2024-02-22
O00069,C0255,P0010,2,2025-08-19
O00070,C0526,P0001,3,2024-09-01
O00071,C0432,P0047,4,2024-08-04
O00072,C0342,P0042,1,2024-12-05
O00073,C0504,P0027,5,2024-01-13
O00074,C0281,P0001,2,2024-10-24
O00075,C0893,P0034,5,2025-06-04
O00076,C0154,P0044,5,2023-10-30
O00077,C0459,P0016,5,2024-06-06
O00078,C0800,P0037,3,2024-07-15
O00079,C0914,P0032,2,2023-11-27
O00080,C0669,P0001,5,2024-08-06
O00081,C0908,P0004,4,2023-09-30
O00082,C0022,P0003,2,2024-07-08
O00083,C0761,P0041,5,2024-08-17
O00084,C0368,P0036,2,2024-06-26
O00085,C0845,P0033,3,2025-03-30
O00086,C0194,P0013,2,2024-04-16
O00087,C0940,P0016,1,2023-12-29
O00088,C0208,P0040,3,2024-06-15
O00089,C0451,P0009,4,2025-08-21
O00090,C0216,P0019,1,2025-07-05
O00091,C0661,P0023,5,2024-03-10
O00092,C0545,P0006,2,2025-05-03
O00093,C0166,P0050,1,2023-12-05
O00094,C0645,P0017,4,2023-10-26
O00095,C0246,P0035,1,2025-03-10
O00096,C0687,P0009,2,2025-07-12
O00097,C0136,P0040,3,2024-04-02
O00098,C0200,P0005,4,2024-03-24
O00099,C0180,P0016,5,2023-09-14
O00100,C0878,P0046,3,2023-11-02
O00101,C0189,P0020,2,2023-12-03
O00102,C0203,P0050,2,2025-07-24
O00103,C0988,P0022,2,2024-01-25
O00104,C0900,P0029,5,2025-08-16
O00105,C0012,P0008,1,2024-06-06
O00106,C0113,P0019,4,2023-09-13
O00107,C0411,P0004,5,2024-06-18
O00108,C0768,P0041,2,2025-05-27
O00109,C0614,P0029,4,2025-02-01
O00110,C0195,P0020,4,2025-04-17
O00111,C0379,P0037,3,2025-05-17
O00112,C0822,P0004,5,2024-06-08
O00113,C0021,P0014,3,2023-11-22
